filename,true_label,predicted_label,confidence,correct
16.mp4,correctly_worn,incorrectly_worn,0.7,False
17.mp4,correctly_worn,incorrectly_worn,0.9,False
18.mp4,correctly_worn,incorrectly_worn,0.6,False
19.mp4,correctly_worn,correctly_worn,0.6,True
20.mp4,correctly_worn,correctly_worn,0.9,True
21.mp4,correctly_worn,correctly_worn,0.6,True
22.mp4,correctly_worn,correctly_worn,0.9,True
23.mp4,correctly_worn,correctly_worn,0.9,True
24.mp4,correctly_worn,incorrectly_worn,0.8,False
1.mp4,incorrectly_worn,incorrectly_worn,0.9,True
10.mp4,incorrectly_worn,incorrectly_worn,1.0,True
11.mp4,incorrectly_worn,incorrectly_worn,0.7,True
12.mp4,incorrectly_worn,incorrectly_worn,1.0,True
2.mp4,incorrectly_worn,incorrectly_worn,1.0,True
3.mp4,incorrectly_worn,incorrectly_worn,0.8,True
4.mp4,incorrectly_worn,incorrectly_worn,0.5,True
5.mp4,incorrectly_worn,incorrectly_worn,0.9,True
6.mp4,incorrectly_worn,correctly_worn,0.6,False
7.mp4,incorrectly_worn,incorrectly_worn,0.9,True
8.mp4,incorrectly_worn,incorrectly_worn,0.8,True
9.mp4,incorrectly_worn,incorrectly_worn,0.9,True
